% Service logfile
% 1 	Time (sec)
% 2 	Message
1738762268.0148 Setup finished OK=1
1738762319.0426 Log command: robobot/cmd/ti/log 1
1738762320.3360 Log command: robobot/cmd/ti/log 0
1738762333.6737 Log command: robobot/cmd/ti/log 1
1738762335.1403 new Master: (0) 2025-02-05 14:32:13.662275
1738762355.3556 Mixer order: robobot/cmd/ti/rc 0.250 0.021 1738762355.354806
1738762355.3663 Mixer order: robobot/cmd/ti/rc 0.250 0.020 1738762355.3651857
1738762355.3751 Mixer order: robobot/cmd/ti/rc 0.250 0.019 1738762355.3747814
1738762355.3864 Mixer order: robobot/cmd/ti/rc 0.250 0.017 1738762355.3855913
1738762355.3955 Mixer order: robobot/cmd/ti/rc 0.250 0.016 1738762355.3950293
1738762355.4062 Mixer order: robobot/cmd/ti/rc 0.250 0.015 1738762355.4053552
1738762355.4155 Mixer order: robobot/cmd/ti/rc 0.250 0.014 1738762355.4150302
1738762355.4255 Mixer order: robobot/cmd/ti/rc 0.250 0.013 1738762355.424799
1738762355.4355 Mixer order: robobot/cmd/ti/rc 0.250 0.012 1738762355.4351187
1738762355.4453 Mixer order: robobot/cmd/ti/rc 0.250 0.012 1738762355.4451015
1738762355.4555 Mixer order: robobot/cmd/ti/rc 0.250 0.011 1738762355.4551516
1738762355.4654 Mixer order: robobot/cmd/ti/rc 0.250 0.010 1738762355.4650652
1738762355.4748 Mixer order: robobot/cmd/ti/rc 0.250 0.009 1738762355.474394
1738762355.4754 Mixer order: robobot/cmd/ti/rc 0.1 0.5
1738762358.6789 Mixer order: robobot/cmd/ti/rc 0 0
1738762359.8843 Mixer order: robobot/cmd/ti/rc 0 0
1738762359.9599 Log command: robobot/cmd/ti/log 0
1738762270.8858 Lost Master, alive since 2025-02-05 14:32:13.662275
1738762403.4688 Shutdown: robobot/cmd/shutdown 1738762403.4684 GPIO button
1738762403.4688 Got power off from (teensy 0) 1738762403.4684 GPIO button
1738762403.4688 send power off to teensy
