% Service logfile
% 1 	Time (sec)
% 2 	Message
1739279824.1484 Setup finished OK=1
1739552435.3740 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.3733358
1739552435.3838 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.383451
1739552435.3935 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.3931582
1739552435.4041 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.4036806
1739552435.4134 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.413137
1739552435.4229 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.422587
1739552435.4340 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.4335492
1739552435.4438 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.443449
1739552435.4536 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.4531891
1739552435.4634 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.4628694
1739552435.4737 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.4733326
1739552435.4831 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.482713
1739552435.4932 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.492808
1739552435.5040 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.5035677
1739552435.5137 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.5132926
1739552435.5242 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.523813
1739552435.5336 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.5333476
1739552435.5432 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.5429246
1739552435.5545 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.5538862
1739552435.5651 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.564208
1739552435.5747 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.574038
1739552435.5842 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.5834212
1739552435.5943 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1739552435.5938127
1739552435.6041 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.6035845
1739552435.6135 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.6131496
1739552435.6243 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.6236742
1739552435.6332 Mixer order: robobot/cmd/ti/rc 0.250 0.838 1739552435.6328166
1739552435.6439 Mixer order: robobot/cmd/ti/rc 0.250 0.697 1739552435.6435275
1739552435.6535 Mixer order: robobot/cmd/ti/rc 0.250 0.581 1739552435.6530783
1739552435.6633 Mixer order: robobot/cmd/ti/rc 0.250 0.460 1739552435.6628935
1739552435.6733 Mixer order: robobot/cmd/ti/rc 0.250 0.361 1739552435.672966
1739552435.6837 Mixer order: robobot/cmd/ti/rc 0.250 0.341 1739552435.683061
1739552435.6934 Mixer order: robobot/cmd/ti/rc 0.250 0.288 1739552435.692933
1739552435.7038 Mixer order: robobot/cmd/ti/rc 0.250 0.248 1739552435.70344
1739552435.7136 Mixer order: robobot/cmd/ti/rc 0.250 0.254 1739552435.7131672
1739552435.7233 Mixer order: robobot/cmd/ti/rc 0.250 0.253 1739552435.7229342
1739552435.7282 new Master: (0) 2025-02-14 18:00:34.594017
1739552435.7335 Mixer order: robobot/cmd/ti/rc 0.250 0.285 1739552435.7331576
1739552435.7436 Mixer order: robobot/cmd/ti/rc 0.250 0.339 1739552435.7432113
1739552435.7535 Mixer order: robobot/cmd/ti/rc 0.250 0.441 1739552435.7531586
1739552435.7668 Mixer order: robobot/cmd/ti/rc 0.250 0.530 1739552435.7652903
1739552435.7755 Mixer order: robobot/cmd/ti/rc 0.250 0.652 1739552435.7737505
1739552435.7843 Mixer order: robobot/cmd/ti/rc 0.250 0.747 1739552435.7839077
1739552435.7940 Mixer order: robobot/cmd/ti/rc 0.250 0.842 1739552435.7935333
1739552435.8031 Mixer order: robobot/cmd/ti/rc 0.250 0.946 1739552435.8026886
1739552435.8143 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.8137608
1739552435.8234 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.8230286
1739552435.8341 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.8336818
1739552435.8440 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.843542
1739552435.8533 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.8529084
1739552435.8635 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.8632119
1739552435.8735 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.8731155
1739552435.8840 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.8836303
1739552435.8935 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.8931394
1739552435.9042 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.9038343
1739552435.9137 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.9133217
1739552435.9238 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.9235525
1739552435.9341 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.9335604
1739552435.9435 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.9431298
