% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1739552411.6997 0.000 0.000 0.0000 -3.1184
1739552411.7046 0.000 0.000 0.0000 -3.1184
1739552411.7092 0.000 0.000 0.0000 -3.1184
1739552411.7151 0.000 0.000 0.0000 -3.1184
1739552411.7195 0.000 0.000 0.0000 -3.1184
1739552411.7245 0.000 0.000 0.0000 -3.1184
1739552411.7294 0.000 0.000 0.0000 -3.1184
1739552411.7342 0.000 0.000 0.0000 -3.1184
1739552411.7399 0.000 0.000 0.0000 -3.1184
1739552411.7450 0.000 0.000 0.0000 -3.1184
1739552411.7494 0.000 0.000 0.0000 -3.1184
1739552411.7545 0.000 0.000 0.0000 -3.1184
1739552411.7600 0.000 0.000 0.0000 -3.1184
1739552411.7650 0.000 0.000 0.0000 -3.1184
1739552411.7698 0.000 0.000 0.0000 -3.1184
1739552411.7747 0.000 0.000 0.0000 -3.1184
1739552411.7796 0.000 0.000 0.0000 -3.1185
1739552411.7846 0.000 0.000 0.0000 -3.1185
1739552411.7902 0.000 0.000 0.0000 -3.1184
1739552411.7951 0.000 0.000 0.0000 -3.1185
1739552411.7993 0.000 0.000 0.0000 -3.1184
1739552411.8045 0.000 0.000 0.0000 -3.1184
1739552411.8099 0.000 0.000 0.0000 -3.1184
1739552411.8150 0.000 0.000 0.0000 -3.1184
1739552411.8194 0.000 0.000 0.0000 -3.1184
1739552411.8243 0.000 0.000 0.0000 -3.1184
1739552411.8292 0.000 0.000 0.0000 -3.1184
1739552411.8352 0.000 0.000 0.0000 -3.1184
1739552411.8396 0.000 0.000 0.0000 -3.1184
1739552411.8448 0.000 0.000 0.0000 -3.1184
1739552411.8499 0.000 0.000 0.0000 -3.1184
1739552411.8550 0.000 0.000 0.0000 -3.1184
1739552411.8600 0.000 0.000 0.0000 -3.1184
1739552411.8652 0.000 0.000 0.0000 -3.1184
1739552411.8696 0.000 0.000 0.0000 -3.1184
1739552411.8749 0.000 0.000 0.0000 -3.1184
1739552411.8801 0.000 0.000 0.0000 -3.1184
1739552411.8842 0.000 0.000 0.0000 -3.1184
1739552411.8901 0.000 0.000 0.0000 -3.1184
1739552411.8950 0.000 0.000 0.0000 -3.1184
1739552411.8994 0.000 0.000 0.0000 -3.1184
1739552411.9045 0.000 0.000 0.0000 -3.1184
1739552411.9099 0.000 0.000 0.0000 -3.1184
1739552411.9150 0.000 0.000 0.0000 -3.1184
1739552411.9200 0.000 0.000 0.0000 -3.1184
1739552411.9250 0.000 0.000 0.0000 -3.1184
1739552411.9295 0.000 0.000 0.0000 -3.1184
1739552411.9345 0.001 0.000 0.0000 -3.1183
1739552411.9400 0.001 0.000 -0.0016 -3.1183
1739552411.9448 0.002 -0.000 -0.0048 -3.1176
1739552411.9496 0.003 -0.000 -0.0048 -3.1165
1739552411.9546 0.004 -0.000 -0.0063 -3.1143
1739552411.9601 0.005 -0.000 -0.0063 -3.1124
1739552411.9651 0.005 -0.000 -0.0032 -3.1083
1739552411.9699 0.006 -0.000 -0.0016 -3.1065
1739552411.9746 0.007 -0.000 -0.0016 -3.1053
1739552411.9802 0.007 -0.000 -0.0016 -3.1044
1739552411.9844 0.008 -0.000 -0.0016 -3.1026
1739552411.9899 0.009 -0.000 -0.0032 -3.1013
1739552411.9950 0.010 -0.000 -0.0032 -3.0991
1739552411.9994 0.011 -0.000 -0.0048 -3.0978
1739552412.0045 0.012 -0.000 -0.0032 -3.0962
1739552412.0103 0.013 -0.000 -0.0032 -3.0952
1739552412.0153 0.015 -0.000 -0.0032 -3.0933
1739552412.0197 0.015 -0.000 -0.0032 -3.0916
1739552412.0246 0.017 -0.000 -0.0063 -3.0901
1739552412.0303 0.018 -0.000 -0.0063 -3.0892
1739552412.0353 0.019 -0.000 -0.0063 -3.0882
1739552412.0401 0.020 -0.000 -0.0063 -3.0874
1739552412.0452 0.022 -0.000 -0.0079 -3.0871
1739552412.0496 0.023 -0.000 -0.0079 -3.0868
1739552412.0548 0.025 -0.000 -0.0079 -3.0861
1739552412.0603 0.026 -0.000 -0.0063 -3.0856
1739552412.0652 0.028 -0.000 -0.0079 -3.0851
1739552412.0699 0.029 -0.000 -0.0095 -3.0850
1739552412.0750 0.031 -0.000 -0.0079 -3.0847
1739552412.0796 0.032 -0.000 -0.0095 -3.0845
1739552412.0844 0.034 -0.000 -0.0079 -3.0846
1739552412.0902 0.035 -0.000 -0.0079 -3.0846
1739552412.0950 0.037 -0.000 -0.0079 -3.0848
1739552412.0998 0.038 -0.000 -0.0063 -3.0847
1739552412.1050 0.039 -0.000 -0.0063 -3.0846
1739552412.1094 0.040 -0.000 -0.0063 -3.0846
1739552412.1144 0.042 -0.000 -0.0063 -3.0848
1739552412.1202 0.043 -0.000 -0.0063 -3.0851
1739552412.1252 0.045 -0.000 -0.0079 -3.0856
1739552412.1301 0.047 -0.000 -0.0079 -3.0860
1739552412.1352 0.048 -0.000 -0.0079 -3.0869
1739552412.1396 0.050 -0.000 -0.0095 -3.0873
1739552412.1445 0.051 -0.000 -0.0095 -3.0874
1739552412.1503 0.053 -0.000 -0.0095 -3.0873
1739552412.1553 0.054 -0.000 -0.0111 -3.0871
1739552412.1602 0.055 -0.000 -0.0127 -3.0876
1739552412.1660 0.057 -0.000 -0.0143 -3.0884
1739552412.1695 0.058 -0.000 -0.0143 -3.0891
1739552412.1775 0.060 -0.000 -0.0143 -3.0898
1739552412.1802 0.061 -0.000 -0.0159 -3.0902
1739552412.1854 0.063 -0.000 -0.0159 -3.0907
1739552412.1901 0.064 -0.000 -0.0174 -3.0908
1739552412.1951 0.066 -0.001 -0.0159 -3.0908
1739552412.1998 0.067 -0.001 -0.0174 -3.0910
1739552412.2050 0.068 -0.001 -0.0174 -3.0915
1739552412.2095 0.069 -0.001 -0.0174 -3.0918
1739552412.2146 0.071 -0.001 -0.0190 -3.0924
1739552412.2204 0.072 -0.001 -0.0206 -3.0928
1739552412.2254 0.074 -0.001 -0.0206 -3.0935
1739552412.2297 0.075 -0.001 -0.0206 -3.0938
1739552412.2352 0.076 -0.001 -0.0206 -3.0939
